Suburb,livability_score,Rank
Fitzroy,1.0191001537660491,1
Brunswick,0.9950065305345014,2
South Yarra,0.9929857365999135,3
Brighton,0.9518405315556135,4
Port Melbourne,0.9142852409076716,5
Glen Waverley,0.888995042764321,6
Toorak,0.8866751512679448,7
Carlton,0.8812597446598854,8
Northcote,0.8741629986346416,9
Elwood,0.8616273175758299,10
Prahran,0.8611038792631875,11
South Melbourne,0.833651052121424,12
Docklands,0.8262231027667317,13
Armadale,0.8159452720921232,14
Hawthorn,0.8106256772375212,15
Albert Park,0.8088890484169096,16
Abbotsford,0.8024283908002885,17
Brunswick East,0.795854095579436,18
St Kilda,0.7936718432116179,19
Burnley,0.7815184578177146,20
Clifton Hill,0.7711825823817944,21
Preston,0.7603549418830623,22
Beaumaris,0.7439635788296152,23
Footscray,0.7366860986074704,24
Malvern,0.7302370141708145,25
Carlton North,0.7282026389349487,26
Elsternwick,0.7193162131687867,27
Cheltenham,0.7180812220185401,28
Kew,0.7042696539162625,29
Hawthorn East,0.7039502994821976,30
St Kilda East,0.6973938699181359,31
Malvern East,0.6855283134863498,32
Springvale,0.6596852019565738,33
Thornbury,0.6585989776121532,34
Camberwell,0.657942610607453,35
Camberwell,0.6516926106074529,36
Caulfield,0.645224430941476,37
Mount Waverley,0.6256742029447112,38
Brighton East,0.6227437641297011,39
Flemington,0.614760016849589,40
Brunswick West,0.6143465587653137,41
Balwyn,0.6134585960387671,42
Carnegie,0.6079037497747536,43
Ivanhoe,0.6052830088788665,44
Mount Waverley,0.6037992029447111,45
Canterbury,0.6016311341878184,46
St Kilda,0.5981971356509304,47
Mentone,0.597799661718253,48
Box Hill,0.5964017668830816,49
Clayton,0.5885086404778961,50
Alphington,0.5822943959047655,51
Dandenong,0.5809620039862272,52
Reservoir,0.5775483423568486,53
Mornington,0.5660169338742264,54
Coburg,0.5501744217079471,55
Southbank,0.5410829996524387,56
Williamstown,0.5406703713168364,57
Dandenong,0.5372854402626738,58
Bentleigh,0.5313047830964659,59
Doncaster,0.5248820947327973,60
Ashburton,0.5204507915652761,61
Berwick,0.5171506711580557,62
Ascot,0.516572194987525,63
Ascot,0.516572194987525,64
Ascot,0.516572194987525,65
Ascot,0.516572194987525,66
Bundoora,0.5151197149537047,67
Bulleen,0.505622061133844,68
Frankston,0.5043929233401576,69
Essendon,0.5004338768948794,70
Newport,0.5003208702428967,71
Hughesdale,0.49235990970568977,72
Chadstone,0.49111585975000593,73
Pascoe Vale South,0.4758164005344889,74
Ringwood,0.4608074148538766,75
Torquay,0.459799711995359,76
Burwood,0.45480821529596455,77
Eltham,0.44997734130035383,78
Seddon,0.44935490654292154,79
Noble Park,0.44793240053855793,80
Blackburn,0.43872342750359333,81
Cranbourne,0.4350099474948906,82
Croydon,0.42893294755618283,83
East Melbourne,0.41329761579506424,84
Aspendale,0.40907758499944435,85
Mitcham,0.4079361908004613,86
Heidelberg,0.3974784063102345,87
Ferntree Gully,0.3954522089535364,88
Wodonga,0.3941451009403937,89
Boronia,0.3925696211017551,90
Sunshine,0.3895072084068326,91
Fawkner,0.38740541386504745,92
Epping,0.38207988201156723,93
Avondale Heights,0.3813431706416396,94
Scoresby,0.3740231370811913,95
Hoppers Crossing,0.36504567773170926,96
Bayswater,0.36457899479392414,97
Pakenham,0.35423049070983753,98
Geelong,0.3537566597715031,99
Dromana,0.35105641895090683,100
West Footscray,0.3488974843566521,101
Newtown,0.3419599492880911,102
Newtown,0.3419599492880911,103
Newtown,0.3419599492880911,104
Newtown,0.3419599492880911,105
Warrnambool,0.34182652512436096,106
Geelong,0.3396691258959612,107
Hoppers Crossing,0.3369206777317093,108
Altona,0.3279345886213827,109
Warrnambool,0.31370152512436095,110
Warrnambool,0.31370152512436095,111
Lalor,0.31329993376209353,112
Hampton,0.30200826475152787,113
Bendigo,0.3005014335146045,114
Rowville,0.2989398290438962,115
Flinders,0.29031939110024413,116
Craigieburn,0.2779806016261995,117
Sunbury,0.2775131838180827,118
Barwon Heads,0.27551245875501396,119
Belmont,0.27386417166761323,120
Gladstone Park,0.27364327412996853,121
Carrum,0.27040192142855873,122
Bendigo,0.2648385147004496,123
Broadmeadows,0.26162516527887214,124
Shepparton,0.2614549611279543,125
Warragul,0.2573947775746874,126
Sydenham,0.2571700860273032,127
Traralgon,0.25078263523431,128
Craigieburn,0.24673060162619953,129
Wangaratta,0.2232352057691032,130
North Geelong,0.21829505919415196,131
Echuca,0.21289715449597532,132
Mildura,0.19636845467375189,133
Melton,0.19406966261548858,134
Whittlesea,0.19221888467851977,135
Lara,0.1891455546717272,136
Bairnsdale,0.17361528152802438,137
Maffra,0.1716727662090649,138
Corio,0.1711703371141145,139
St Albans Park,0.17014581029600787,140
Castlemaine,0.1677486117754255,141
Horsham,0.1589841810908468,142
Portland,0.1560541935696812,143
Golden Square,0.1548196619377207,144
Ballarat Central,0.1463575613048851,145
North Bendigo,0.14163100596186184,146
Benalla,0.1396918585637019,147
Swan Hill,0.1275065902558194,148
Alfredton,0.1071554817679388,149
Hamilton,0.10178850997506118,150
Delacombe,0.09611805175358393,151
Seymour,0.09272481608701924,152
Keilor,0.08415332119003524,153
Morwell,0.07502216728295767,154
Buninyong,0.0686116623726664,155
Newborough,0.052595817464815904,156
